problem,algorithm,mean_feasible_ratio,std_feasible_ratio,mean_feasible_samples,std_feasible_samples,mean_total_samples,n_trials,se_feasible_ratio,se_feasible_samples
MW3,EGBO,0.8647360000000001,0.021196086116702442,153.92,3.774034092762459,178.0,25,0.0042392172233404884,0.7548068185524918
MW3,Feryal,0.866068,0.018679951820066334,154.16,3.3251566379144717,178.0,25,0.003735990364013267,0.6650313275828943
MW3,Ikhlas,0.867664,0.019996663888425647,154.44,3.5599625466194618,178.0,25,0.003999332777685129,0.7119925093238924
MW3,Karima,0.869228,0.016823508353887816,154.72,2.9933259094191538,178.0,25,0.003364701670777563,0.5986651818838308
MW3,Traditional_NEHVI,0.159096,0.022280411090627276,28.32,3.9663894032178915,178.0,25,0.004456082218125455,0.7932778806435783
MW5,EGBO,0.31666666666666665,0.12579557704844777,36.1,14.340695783523042,114.0,10,0.03978005430482964,4.5349261907505785
MW5,Traditional_NEHVI,0.08771929824561403,0.032821556024332815,10.0,3.7416573867739418,114.0,9,0.010940518674777605,1.2472191289246473
MW5_ExtremeTight,EGBO,0.2964912280701754,0.1394218766800992,33.8,15.894093941531308,114.0,10,0.04408906859642284,5.026153819992204
MW5_ExtremeTight,Traditional_NEHVI,0.07280701754385964,0.021105359570314137,8.3,2.406010991015812,114.0,10,0.00667410070790253,0.7608474807008885
MW5_Loose,EGBO,0.29210526315789476,0.13614871560484693,33.3,15.52095357895255,114.0,10,0.04305400418178254,4.90815647672321
MW5_Loose,Traditional_NEHVI,0.09298245614035087,0.01714956526153822,10.6,1.9550504398153572,114.0,10,0.0054231687108162,0.6182412330330468
MW5_Tight,EGBO,0.34035087719298246,0.13474425336991913,38.8,15.360844884170778,114.0,10,0.04260987422677631,4.857525661852498
MW5_Tight,Traditional_NEHVI,0.09035087719298245,0.01707462142766835,10.3,1.9465068427541914,114.0,10,0.005399469389654794,0.6155395104206464
MW5_VeryLoose,EGBO,0.30350877192982456,0.11035445656575568,34.6,12.58040804849615,114.0,10,0.03489714326979109,3.9782743327561847
MW5_VeryLoose,Traditional_NEHVI,0.0763157894736842,0.01756820922315766,8.7,2.002775851439974,114.0,10,0.005555555555555554,0.6333333333333334
MW5_VeryTight,EGBO,0.30350877192982456,0.11733856559586539,34.6,13.376596477928656,114.0,10,0.03710571246600071,4.230051221124081
MW5_VeryTight,Traditional_NEHVI,0.07017543859649122,0.01601527945921538,8.0,1.8257418583505536,114.0,10,0.0050644760455230324,0.5773502691896257
MW7,EGBO,0.24912280701754383,0.11250282609524034,28.4,12.825322174857398,114.0,10,0.03557651736667867,4.055722979801368
MW7,Traditional_NEHVI,0.025438596491228073,0.012711733987885472,2.9,1.4491376746189437,114.0,10,0.004019803241189333,0.45825756949558394
