problem,constraint_type,algorithm,trial,auc10,final_hv,regret,n_batches,time
MW5,Normal,Traditional_NEHVI,0,1.400246,0.393797,0.519739,12,69.03
MW5,Normal,Traditional_NEHVI,1,4.141910,0.695925,0.217612,12,79.28
MW5,Normal,Traditional_NEHVI,2,2.527796,0.560428,0.353109,12,63.94
MW5,Normal,Traditional_NEHVI,3,2.685341,0.443912,0.469624,12,60.25
MW5,Normal,Traditional_NEHVI,4,2.337717,0.253077,0.660460,12,74.72
MW5,Normal,Traditional_NEHVI,5,3.939455,0.519262,0.394274,12,0.00
MW5,Normal,Traditional_NEHVI,6,1.366057,0.244231,0.669306,12,0.00
MW5,Normal,Traditional_NEHVI,7,2.866665,0.644266,0.269271,12,0.00
MW5,Normal,Traditional_NEHVI,8,2.621645,0.451145,0.462392,12,0.00
MW5,Normal,Traditional_NEHVI,9,1.183831,0.311042,0.602495,12,0.00
MW5,Normal,EGBO,0,5.687399,1.083716,-0.170179,12,90.79
MW5,Normal,EGBO,1,6.429367,1.213822,-0.300285,12,110.17
MW5,Normal,EGBO,2,3.756905,0.676997,0.236540,12,78.42
MW5,Normal,EGBO,3,7.901222,1.249198,-0.335661,12,130.79
MW5,Normal,EGBO,4,4.447032,0.749143,0.164394,12,107.99
MW5,Normal,EGBO,5,4.679287,0.788400,0.125137,12,0.00
MW5,Normal,EGBO,6,6.695901,0.964662,-0.051125,12,0.00
MW5,Normal,EGBO,7,3.215517,0.452523,0.461013,12,0.00
MW5,Normal,EGBO,8,5.998593,1.046441,-0.132904,12,0.00
MW5,Normal,EGBO,9,3.997072,0.910466,0.003071,12,0.00
MW5_Tight,Tight,Traditional_NEHVI,0,2.942901,0.342041,0.578422,12,101.06
MW5_Tight,Tight,Traditional_NEHVI,1,3.689260,0.546149,0.374314,12,96.00
MW5_Tight,Tight,Traditional_NEHVI,2,2.078614,0.365833,0.554630,12,87.93
MW5_Tight,Tight,Traditional_NEHVI,3,3.191242,0.244562,0.675900,12,87.19
MW5_Tight,Tight,Traditional_NEHVI,4,1.850371,0.564226,0.356236,12,66.57
MW5_Tight,Tight,Traditional_NEHVI,5,3.943688,0.595852,0.324611,12,84.99
MW5_Tight,Tight,Traditional_NEHVI,6,2.135668,0.755726,0.164737,12,77.78
MW5_Tight,Tight,Traditional_NEHVI,7,2.659585,0.652677,0.267786,12,81.10
MW5_Tight,Tight,Traditional_NEHVI,8,2.697521,0.264367,0.656096,12,86.16
MW5_Tight,Tight,Traditional_NEHVI,9,2.136709,0.361848,0.558615,12,86.14
MW5_Tight,Tight,EGBO,0,5.572844,1.130936,-0.210473,12,108.79
MW5_Tight,Tight,EGBO,1,7.401747,1.107585,-0.187123,12,144.72
MW5_Tight,Tight,EGBO,2,3.775567,0.711295,0.209168,12,110.02
MW5_Tight,Tight,EGBO,3,7.233015,1.087770,-0.167308,12,123.39
