problem,algorithm,mean_feasible_ratio,std_feasible_ratio,mean_feasible_samples,std_feasible_samples,mean_total_samples,n_trials,se_feasible_ratio,se_feasible_samples
MW3,EGBO,0.8647360000000001,0.021196086116702442,153.92,3.774034092762459,178.0,25,0.0042392172233404884,0.7548068185524918
MW3,Feryal,0.866068,0.018679951820066334,154.16,3.3251566379144717,178.0,25,0.003735990364013267,0.6650313275828943
MW3,Ikhlas,0.867664,0.019996663888425647,154.44,3.5599625466194618,178.0,25,0.003999332777685129,0.7119925093238924
MW3,Karima,0.869228,0.016823508353887816,154.72,2.9933259094191538,178.0,25,0.003364701670777563,0.5986651818838308
MW3,Traditional_NEHVI,0.159096,0.022280411090627276,28.32,3.9663894032178915,178.0,25,0.004456082218125455,0.7932778806435783
MW5,EGBO,0.314384,0.08631331820756283,55.96,15.363593329686909,178.0,25,0.017262663641512566,3.0727186659373817
MW5,Feryal,0.283376,0.08645603063600209,50.44,15.38689918946201,178.0,25,0.017291206127200417,3.077379837892402
MW5,Ikhlas,0.29370799999999997,0.09877115773341932,52.28,17.579628361638743,178.0,25,0.019754231546683865,3.5159256723277488
MW5,Karima,0.27798,0.0994297658316328,49.48,17.699152522084216,178.0,25,0.019885953166326558,3.539830504416843
MW5,Traditional_NEHVI,0.07932800000000001,0.01473312303232802,14.12,2.623597779028342,178.0,25,0.002946624606465604,0.5247195558056684
MW7,EGBO,0.347868,0.07777975700656309,61.92,13.844132331063584,178.0,25,0.015555951401312617,2.7688264662127167
MW7,Feryal,0.338876,0.08649067040245825,60.32,15.394046468250854,178.0,25,0.01729813408049165,3.078809293650171
MW7,Ikhlas,0.30877200000000005,0.06026995188317308,54.96,10.729554200120958,178.0,25,0.012053990376634616,2.1459108400241917
MW7,Karima,0.321796,0.077933024022768,57.28,13.869991588557891,178.0,25,0.0155866048045536,2.773998317711578
MW7,Traditional_NEHVI,0.036192,0.015563272306875542,6.44,2.7712812921102032,178.0,25,0.0031126544613751085,0.5542562584220406
