problem,dimensionality,algorithm,trial,igd,spacing,n_points
DTLZ2_5obj_10D,10,EGBO,0,0.32035807541774836,0.14160912060247222,87
DTLZ2_5obj_10D,10,EGBO,1,0.3170782028052679,0.15781031494426156,89
DTLZ2_5obj_10D,10,EGBO,2,0.27798254080180107,0.1261295513157657,88
DTLZ2_5obj_10D,10,EGBO,3,0.29681890601883243,0.12420935733134122,91
DTLZ2_5obj_10D,10,EGBO,4,0.2797410855878911,0.13834956367899434,80
DTLZ2_5obj_10D,10,EGBO,5,0.40821330215264917,0.13493550943596402,59
DTLZ2_5obj_10D,10,EGBO,6,0.43688318671250814,0.24687406623944153,42
DTLZ2_5obj_10D,10,EGBO,7,0.43748591873626097,0.21027460618694713,52
DTLZ2_5obj_10D,10,EGBO,8,0.4068958637427388,0.18744414561394063,45
DTLZ2_5obj_10D,10,EGBO,9,0.4415980713068828,0.2336291757944236,53
DTLZ2_5obj_10D,10,Traditional_NEHVI,0,0.3823327364791272,0.17579888736488353,63
DTLZ2_5obj_10D,10,Traditional_NEHVI,1,0.39677508281102775,0.134932692259538,75
DTLZ2_5obj_10D,10,Traditional_NEHVI,2,0.40887861006640497,0.16222136684082136,65
DTLZ2_5obj_10D,10,Traditional_NEHVI,3,0.4087928173824667,0.14584991633821975,77
DTLZ2_5obj_10D,10,Traditional_NEHVI,4,0.3719044152944766,0.17704036931892442,73
DTLZ2_5obj_10D,10,Traditional_NEHVI,5,0.38666898982006026,0.20061599774139974,56
DTLZ2_5obj_10D,10,Traditional_NEHVI,6,0.3869451037432695,0.1430858805256508,61
DTLZ2_5obj_10D,10,Traditional_NEHVI,7,0.39134798271690885,0.1487363083912179,76
DTLZ2_5obj_10D,10,Traditional_NEHVI,8,0.4055378397042009,0.16860588274329502,75
DTLZ2_5obj_10D,10,Traditional_NEHVI,9,0.39433659071860516,0.1332736814324255,68
DTLZ2_5obj_20D,20,EGBO,0,0.618494848558721,0.38964185864471035,38
DTLZ2_5obj_20D,20,EGBO,1,0.61489777545595,0.36723978637549926,40
DTLZ2_5obj_20D,20,EGBO,2,0.5169238154768904,0.26002335773047874,51
DTLZ2_5obj_20D,20,EGBO,3,0.6095372587647008,0.3489278032730228,41
DTLZ2_5obj_20D,20,EGBO,4,0.6696774569074608,0.3085737189154761,56
DTLZ2_5obj_20D,20,Traditional_NEHVI,0,0.5571791181680743,0.24823170632680505,75
DTLZ2_5obj_20D,20,Traditional_NEHVI,1,0.5312044248070886,0.24047278909894543,51
DTLZ2_5obj_20D,20,Traditional_NEHVI,2,0.5131943831860472,0.2298761695662448,54
DTLZ2_5obj_20D,20,Traditional_NEHVI,3,0.537231735292479,0.24031018447480174,72
DTLZ2_5obj_20D,20,Traditional_NEHVI,4,0.5326574911354011,0.24487515685567382,62
DTLZ2_5obj_50D,50,EGBO,0,1.620746331571829,0.983770190717988,24
DTLZ2_5obj_50D,50,EGBO,1,1.6218734420169514,1.0135183849164313,17
DTLZ2_5obj_50D,50,EGBO,2,1.3827707429433571,1.1015132699087617,23
DTLZ2_5obj_50D,50,EGBO,3,1.4102474165528847,1.072541855151091,23
DTLZ2_5obj_50D,50,EGBO,4,1.4281998833854432,0.9682473947647121,19
DTLZ2_5obj_50D,50,Traditional_NEHVI,0,0.9088976869493952,0.4713257973544722,71
DTLZ2_5obj_50D,50,Traditional_NEHVI,1,0.9777764342927466,0.5173979706054551,67
DTLZ2_5obj_50D,50,Traditional_NEHVI,2,0.9685574941709584,0.4545536230426037,68
DTLZ2_5obj_50D,50,Traditional_NEHVI,3,0.9455761308895201,0.4451701159108844,72
DTLZ2_5obj_50D,50,Traditional_NEHVI,4,0.8953441429898605,0.4552838015938228,80
DTLZ2_5obj_75D,75,EGBO,0,2.1512374701038657,0.9790717390186572,65
DTLZ2_5obj_75D,75,EGBO,1,2.1232656529417704,0.9997834800708045,67
DTLZ2_5obj_75D,75,EGBO,2,2.303215222792699,0.7731218561693588,61
DTLZ2_5obj_75D,75,EGBO,3,2.165514883673403,1.0599660681478826,46
DTLZ2_5obj_75D,75,EGBO,4,2.1007956817637923,1.0447716658467845,58
DTLZ2_5obj_75D,75,EGBO,5,2.0708439524255478,0.9137981387021552,53
DTLZ2_5obj_75D,75,EGBO,6,1.804702272420793,1.0334197553017415,73
DTLZ2_5obj_75D,75,EGBO,7,2.129102555456047,1.213566030012446,48
DTLZ2_5obj_75D,75,EGBO,8,2.1007084888195267,0.7868066102408143,52
DTLZ2_5obj_75D,75,EGBO,9,1.9913426554505476,1.0732441427508934,50
DTLZ2_5obj_75D,75,Traditional_NEHVI,0,2.0221108403319046,1.9002251839490514,57
DTLZ2_5obj_75D,75,Traditional_NEHVI,1,1.9433363028569608,1.1512713213436545,84
DTLZ2_5obj_75D,75,Traditional_NEHVI,2,2.3920106970050963,1.2289949589135494,27
DTLZ2_5obj_75D,75,Traditional_NEHVI,3,1.6421797805457272,1.032572610770809,85
DTLZ2_5obj_75D,75,Traditional_NEHVI,4,1.9361991294505554,1.4017341261937222,56
DTLZ2_5obj_75D,75,Traditional_NEHVI,5,1.4277942342640773,0.9444908352674809,68
DTLZ2_5obj_75D,75,Traditional_NEHVI,6,1.6859258883651447,1.3155364969846461,68
DTLZ2_5obj_75D,75,Traditional_NEHVI,7,1.9683755824726965,1.5898245474188568,73
DTLZ2_5obj_75D,75,Traditional_NEHVI,8,1.9397702384586621,1.0746444652058287,63
DTLZ2_5obj_75D,75,Traditional_NEHVI,9,2.250980093570698,1.314505986994712,43
DTLZ2_5obj_100D,100,EGBO,0,3.2368507085871308,1.2601169729514572,44
DTLZ2_5obj_100D,100,EGBO,1,3.349750962799287,1.315274361198551,47
DTLZ2_5obj_100D,100,EGBO,2,2.971331319003791,1.3492215695896237,55
DTLZ2_5obj_100D,100,EGBO,3,2.9170750040903743,1.514252843519683,51
DTLZ2_5obj_100D,100,EGBO,4,2.841558262652556,1.2326881407397472,49
DTLZ2_5obj_100D,100,EGBO,5,2.7813731188518465,1.2679580770614898,65
DTLZ2_5obj_100D,100,EGBO,6,2.995636929901014,1.0392099965054629,61
